selfid,cityid
0,1100
1,1200
2,1301
3,1302
4,1303
5,1304
6,1305
7,1306
8,1307
9,1308
10,1309
11,1310
12,1311
13,1401
14,1402
15,1403
16,1404
17,1405
18,1406
19,1407
20,1408
21,1409
22,1410
23,1411
24,1501
25,1502
26,1503
27,1504
28,1505
29,1506
30,1507
31,1508
32,1509
33,1522
34,1525
35,1529
36,1564
37,2101
38,2102
39,2103
40,2104
41,2105
42,2106
43,2107
44,2108
45,2109
46,2110
47,2111
48,2112
49,2113
50,2114
51,2201
52,2202
53,2203
54,2204
55,2205
56,2206
57,2207
58,2208
59,2224
60,2301
61,2302
62,2303
63,2304
64,2305
65,2306
66,2307
67,2308
68,2309
69,2310
70,2311
71,2312
72,2327
73,3100
74,3201
75,3202
76,3203
77,3204
78,3205
79,3206
80,3207
81,3208
82,3209
83,3210
84,3211
85,3212
86,3213
87,3301
88,3302
89,3303
90,3304
91,3305
92,3306
93,3307
94,3308
95,3310
96,3311
97,3401
98,3402
99,3403
100,3404
101,3405
102,3406
103,3407
104,3408
105,3410
106,3411
107,3412
108,3413
109,3415
110,3416
111,3417
112,3418
113,3501
114,3502
115,3503
116,3504
117,3505
118,3506
119,3507
120,3508
121,3509
122,3601
123,3602
124,3603
125,3604
126,3605
127,3606
128,3607
129,3608
130,3609
131,3610
132,3611
133,3701
134,3702
135,3703
136,3704
137,3705
138,3706
139,3707
140,3708
141,3709
142,3710
143,3711
144,3713
145,3714
146,3715
147,3716
148,3717
149,4101
150,4102
151,4103
152,4104
153,4105
154,4106
155,4107
156,4108
157,4109
158,4110
159,4111
160,4112
161,4113
162,4114
163,4115
164,4116
165,4117
166,4190
167,4201
168,4202
169,4203
170,4205
171,4206
172,4207
173,4208
174,4209
175,4210
176,4211
177,4212
178,4213
179,4228
180,4290
181,4301
182,4302
183,4303
184,4304
185,4305
186,4306
187,4307
188,4308
189,4309
190,4310
191,4311
192,4312
193,4313
194,4331
195,4401
196,4402
197,4403
198,4404
199,4405
200,4406
201,4407
202,4408
203,4409
204,4412
205,4413
206,4414
207,4415
208,4416
209,4417
210,4418
211,4419
212,4420
213,4451
214,4452
215,4453
216,4501
217,4502
218,4503
219,4504
220,4505
221,4506
222,4507
223,4508
224,4509
225,4510
226,4511
227,4512
228,4513
229,4514
230,5000
231,5101
232,5103
233,5104
234,5105
235,5106
236,5107
237,5108
238,5109
239,5110
240,5111
241,5113
242,5114
243,5115
244,5116
245,5117
246,5118
247,5119
248,5120
249,5132
250,5133
251,5134
252,5201
253,5202
254,5203
255,5204
256,5205
257,5206
258,5223
259,5226
260,5227
261,5301
262,5303
263,5304
264,5305
265,5306
266,5307
267,5308
268,5309
269,5323
270,5325
271,5326
272,5328
273,5329
274,5331
275,5333
276,5334
277,5401
278,5402
279,5403
280,5404
281,5405
282,5406
283,5425
284,6101
285,6102
286,6103
287,6104
288,6105
289,6106
290,6107
291,6108
292,6109
293,6110
294,6201
295,6202
296,6203
297,6204
298,6205
299,6206
300,6207
301,6208
302,6209
303,6210
304,6211
305,6212
306,6229
307,6230
308,6301
309,6302
310,6322
311,6323
312,6325
313,6326
314,6327
315,6328
316,6401
317,6402
318,6403
319,6404
320,6405
321,6501
322,6502
323,6504
324,6505
325,6523
326,6527
327,6528
328,6529
329,6530
330,6531
331,6532
332,6540
333,6542
334,6543
335,6590
336,8100
337,8200
